false_positive_rate,true_positive_rate,hypothesis_pair
0.0,0.0,active_vs_baseline
0.0,0.0002,active_vs_baseline
0.0,0.0004,active_vs_baseline
0.0,0.0006,active_vs_baseline
0.0,0.0008,active_vs_baseline
0.0,0.001,active_vs_baseline
0.0,0.0012,active_vs_baseline
0.0,0.0014,active_vs_baseline
0.0,0.0016,active_vs_baseline
0.0,0.0018,active_vs_baseline
0.0,0.002,active_vs_baseline
0.0,0.0022,active_vs_baseline
0.0,0.0024,active_vs_baseline
0.0,0.0026,active_vs_baseline
0.0,0.0028,active_vs_baseline
0.0,0.003,active_vs_baseline
0.0,0.0032,active_vs_baseline
0.0,0.0034,active_vs_baseline
0.0,0.0036,active_vs_baseline
0.0,0.0038,active_vs_baseline
0.0,0.004,active_vs_baseline
0.0,0.0042,active_vs_baseline
0.0,0.0044,active_vs_baseline
0.0,0.0046,active_vs_baseline
0.0,0.0048,active_vs_baseline
0.0,0.005,active_vs_baseline
0.0,0.0052,active_vs_baseline
0.0,0.0054,active_vs_baseline
0.0,0.0056,active_vs_baseline
0.0,0.0058,active_vs_baseline
0.0,0.006,active_vs_baseline
0.0,0.0062,active_vs_baseline
0.0,0.0064,active_vs_baseline
0.0,0.0066,active_vs_baseline
0.0,0.0068,active_vs_baseline
0.0,0.007,active_vs_baseline
0.0,0.0072,active_vs_baseline
0.0,0.0074,active_vs_baseline
0.0,0.0076,active_vs_baseline
0.0,0.0078,active_vs_baseline
0.0,0.008,active_vs_baseline
0.0,0.0082,active_vs_baseline
0.0,0.0084,active_vs_baseline
0.0,0.0086,active_vs_baseline
0.0,0.0088,active_vs_baseline
0.0,0.009,active_vs_baseline
0.0,0.0092,active_vs_baseline
0.0,0.0094,active_vs_baseline
0.0,0.0096,active_vs_baseline
0.0,0.0098,active_vs_baseline
0.0,0.01,active_vs_baseline
0.0,0.0102,active_vs_baseline
0.0,0.0104,active_vs_baseline
0.0,0.0106,active_vs_baseline
0.0,0.0108,active_vs_baseline
0.0,0.011,active_vs_baseline
0.0,0.0112,active_vs_baseline
0.0,0.0114,active_vs_baseline
0.0,0.0116,active_vs_baseline
0.0,0.0118,active_vs_baseline
0.0,0.012,active_vs_baseline
0.0,0.0122,active_vs_baseline
0.0,0.0124,active_vs_baseline
0.0,0.0126,active_vs_baseline
0.0,0.0128,active_vs_baseline
0.0,0.013,active_vs_baseline
0.0,0.0132,active_vs_baseline
0.0,0.0134,active_vs_baseline
0.0,0.0136,active_vs_baseline
0.0,0.0138,active_vs_baseline
0.0,0.014,active_vs_baseline
0.0,0.0142,active_vs_baseline
0.0,0.0144,active_vs_baseline
0.0,0.0146,active_vs_baseline
0.0,0.0148,active_vs_baseline
0.0,0.015,active_vs_baseline
0.0,0.0152,active_vs_baseline
0.0,0.0154,active_vs_baseline
0.0,0.0156,active_vs_baseline
0.0,0.0158,active_vs_baseline
0.0,0.016,active_vs_baseline
0.0,0.0162,active_vs_baseline
